GMT,AST,Seconds in Period,Speed (M/S)
2019-08-01 00:10:00,2019-07-31 20:10:00,43200,3.5
2019-08-01 00:20:00,2019-07-31 20:20:00,52800,3.7999999999999998
2019-08-01 00:30:00,2019-07-31 20:30:00,34200,4.0099999999999998
2019-08-01 00:40:00,2019-07-31 20:40:00,32400,4.1699999999999999
2019-08-01 00:50:00,2019-07-31 20:50:00,20400,4.3200000000000003
2019-08-01 01:00:00,2019-07-31 21:00:00,24000,4.4299999999999997
2019-08-01 01:10:00,2019-07-31 21:10:00,16800,4.4500000000000002
2019-08-01 01:20:00,2019-07-31 21:20:00,14400,4.4000000000000004
2019-08-01 01:30:00,2019-07-31 21:30:00,19800,4.3499999999999996
2019-08-01 01:40:00,2019-07-31 21:40:00,25800,4.3099999999999996
2019-08-01 01:50:00,2019-07-31 21:50:00,32400,4.1200000000000001
2019-08-01 02:10:00,2019-07-31 22:10:00,36600,3.96
2019-08-01 02:20:00,2019-07-31 22:20:00,43800,3.8799999999999999
2019-08-01 02:30:00,2019-07-31 22:30:00,54000,3.7000000000000002
2019-08-01 02:40:00,2019-07-31 22:40:00,44400,3.54
2019-08-01 02:50:00,2019-07-31 22:50:00,55800,3.3399999999999999
2019-08-01 03:00:00,2019-07-31 23:00:00,56400,3.1200000000000001
2019-08-01 03:10:00,2019-07-31 23:10:00,91800,2.8700000000000001
2019-08-01 03:20:00,2019-07-31 23:20:00,139800,2.5800000000000001
2019-08-01 03:30:00,2019-07-31 23:30:00,126000,2.3500000000000001
2019-08-01 03:40:00,2019-07-31 23:40:00,113400,2.1200000000000001
2019-08-01 03:50:00,2019-07-31 23:50:00,85800,1.79
2019-08-01 04:00:00,2019-08-01 00:00:00,91200,1.3600000000000001
2019-08-01 04:10:00,2019-08-01 00:10:00,67200,0.82999999999999996
2019-08-01 04:20:00,2019-08-01 00:20:00,50400,0.32000000000000001
2019-08-01 04:30:00,2019-08-01 00:30:00,45000,0.28000000000000003
2019-08-01 04:40:00,2019-08-01 00:40:00,75600,1.23
2019-08-01 04:50:00,2019-08-01 00:50:00,58200,0.95999999999999996
2019-08-01 05:00:00,2019-08-01 01:00:00,103800,2.2400000000000002
2019-08-01 05:10:00,2019-08-01 01:10:00,129600,2.73
2019-08-01 05:20:00,2019-08-01 01:20:00,99000,2.8599999999999999
2019-08-01 05:30:00,2019-08-01 01:30:00,122400,2.7200000000000002
2019-08-01 05:40:00,2019-08-01 01:40:00,145800,2.6000000000000001
2019-08-01 05:50:00,2019-08-01 01:50:00,151800,2.5299999999999998
2019-08-01 06:00:00,2019-08-01 02:00:00,139200,2.6299999999999999
2019-08-01 06:10:00,2019-08-01 02:10:00,110400,2.8500000000000001
2019-08-01 06:20:00,2019-08-01 02:20:00,85800,3.0299999999999998
2019-08-01 06:30:00,2019-08-01 02:30:00,65400,3.0899999999999999
2019-08-01 06:40:00,2019-08-01 02:40:00,63600,3.0600000000000001
2019-08-01 06:50:00,2019-08-01 02:50:00,66600,3.0099999999999998
2019-08-01 07:00:00,2019-08-01 03:00:00,71400,2.96
2019-08-01 07:10:00,2019-08-01 03:10:00,99600,2.8799999999999999
2019-08-01 07:20:00,2019-08-01 03:20:00,114600,2.7999999999999998
2019-08-01 07:30:00,2019-08-01 03:30:00,148800,2.7000000000000002
2019-08-01 07:40:00,2019-08-01 03:40:00,136200,2.5899999999999999
2019-08-01 07:50:00,2019-08-01 03:50:00,148800,2.48
2019-08-01 08:00:00,2019-08-01 04:00:00,131400,2.3599999999999999
2019-08-01 08:20:00,2019-08-01 04:20:00,107400,2.1000000000000001
2019-08-01 08:30:00,2019-08-01 04:30:00,91200,1.96
2019-08-01 08:40:00,2019-08-01 04:40:00,97200,1.8100000000000001
2019-08-01 08:50:00,2019-08-01 04:50:00,87000,1.6699999999999999
2019-08-01 09:00:00,2019-08-01 05:00:00,79800,1.52
2019-08-01 09:10:00,2019-08-01 05:10:00,93600,1.3999999999999999
2019-08-01 09:20:00,2019-08-01 05:20:00,81000,1.27
2019-08-01 09:30:00,2019-08-01 05:30:00,63000,1.1399999999999999
2019-08-01 09:40:00,2019-08-01 05:40:00,73200,1
2019-08-01 09:50:00,2019-08-01 05:50:00,58200,0.73999999999999999
2019-08-01 10:00:00,2019-08-01 06:00:00,44400,0.68000000000000005
2019-08-01 10:10:00,2019-08-01 06:10:00,43200,0.48999999999999999
2019-08-01 10:20:00,2019-08-01 06:20:00,40200,0.22
2019-08-01 10:30:00,2019-08-01 06:30:00,60600,0.58999999999999997
2019-08-01 10:40:00,2019-08-01 06:40:00,66000,0.93999999999999995
2019-08-01 10:50:00,2019-08-01 06:50:00,75600,1.26
2019-08-01 11:00:00,2019-08-01 07:00:00,75600,1.75
2019-08-01 11:10:00,2019-08-01 07:10:00,78000,1.8300000000000001
2019-08-01 11:20:00,2019-08-01 07:20:00,88200,1.8
2019-08-01 11:30:00,2019-08-01 07:30:00,100800,2.04
2019-08-01 11:50:00,2019-08-01 07:50:00,136800,2.46
2019-08-01 12:00:00,2019-08-01 08:00:00,141600,2.6499999999999999
2019-08-01 12:10:00,2019-08-01 08:10:00,106200,2.8300000000000001
2019-08-01 12:20:00,2019-08-01 08:20:00,70200,3.0699999999999998
2019-08-01 12:30:00,2019-08-01 08:30:00,54600,3.3900000000000001
2019-08-01 12:50:00,2019-08-01 08:50:00,34200,3.9700000000000002
2019-08-01 13:00:00,2019-08-01 09:00:00,33000,4.1600000000000001
2019-08-01 13:20:00,2019-08-01 09:20:00,16200,4.5199999999999996
2019-08-01 13:30:00,2019-08-01 09:30:00,10200,4.5800000000000001
2019-08-01 13:40:00,2019-08-01 09:40:00,16200,4.5099999999999998
2019-08-01 13:50:00,2019-08-01 09:50:00,12600,4.4400000000000004
2019-08-01 14:00:00,2019-08-01 10:00:00,21000,4.4100000000000001
2019-08-01 14:10:00,2019-08-01 10:10:00,24000,4.2800000000000002
2019-08-01 14:20:00,2019-08-01 10:20:00,26400,4.1900000000000004
2019-08-01 14:40:00,2019-08-01 10:40:00,27600,4.04
2019-08-01 14:50:00,2019-08-01 10:50:00,45600,3.8900000000000001
2019-08-01 15:00:00,2019-08-01 11:00:00,50400,3.7400000000000002
2019-08-01 15:10:00,2019-08-01 11:10:00,50400,3.5800000000000001
2019-08-01 15:20:00,2019-08-01 11:20:00,46800,3.4100000000000001
2019-08-01 15:50:00,2019-08-01 11:50:00,143400,2.4500000000000002
2019-08-01 16:00:00,2019-08-01 12:00:00,116400,2.1899999999999999
2019-08-01 16:10:00,2019-08-01 12:10:00,97200,1.9099999999999999
2019-08-01 16:20:00,2019-08-01 12:20:00,83400,1.5600000000000001
2019-08-01 16:30:00,2019-08-01 12:30:00,64200,1.1000000000000001
2019-08-01 16:40:00,2019-08-01 12:40:00,52800,0.52000000000000002
2019-08-01 16:50:00,2019-08-01 12:50:00,46200,0.40999999999999998
2019-08-01 17:00:00,2019-08-01 13:00:00,58200,1.01
2019-08-01 17:10:00,2019-08-01 13:10:00,79800,1.47
2019-08-01 17:20:00,2019-08-01 13:20:00,57600,0.71999999999999997
2019-08-01 17:40:00,2019-08-01 13:40:00,150600,2.5499999999999998
2019-08-01 17:50:00,2019-08-01 13:50:00,142200,2.6400000000000001
2019-08-01 18:00:00,2019-08-01 14:00:00,128400,2.4199999999999999
2019-08-01 18:10:00,2019-08-01 14:10:00,146400,2.52
2019-08-01 18:20:00,2019-08-01 14:20:00,138000,2.6099999999999999
2019-08-01 18:30:00,2019-08-01 14:30:00,113400,2.71
2019-08-01 18:40:00,2019-08-01 14:40:00,81600,2.8900000000000001
2019-08-01 18:50:00,2019-08-01 14:50:00,68400,3.04
2019-08-01 19:20:00,2019-08-01 15:20:00,74400,3
2019-08-01 19:30:00,2019-08-01 15:30:00,98400,2.9399999999999999
2019-08-01 19:50:00,2019-08-01 15:50:00,114600,2.7799999999999998
2019-08-01 20:00:00,2019-08-01 16:00:00,124200,2.6800000000000002
2019-08-01 20:10:00,2019-08-01 16:10:00,139800,2.5600000000000001
2019-08-01 20:20:00,2019-08-01 16:20:00,144000,2.4300000000000002
2019-08-01 20:30:00,2019-08-01 16:30:00,140400,2.3100000000000001
2019-08-01 20:50:00,2019-08-01 16:50:00,108600,2.0499999999999998
2019-08-01 21:10:00,2019-08-01 17:10:00,84600,1.78
2019-08-01 21:20:00,2019-08-01 17:20:00,70200,1.6399999999999999
2019-08-01 21:30:00,2019-08-01 17:30:00,76200,1.5
2019-08-01 21:40:00,2019-08-01 17:40:00,81600,1.29
2019-08-01 21:50:00,2019-08-01 17:50:00,66000,1.1200000000000001
2019-08-01 22:00:00,2019-08-01 18:00:00,62400,0.92000000000000004
2019-08-01 22:10:00,2019-08-01 18:10:00,49200,0.80000000000000004
2019-08-01 22:20:00,2019-08-01 18:20:00,48600,0.55000000000000004
2019-08-01 22:30:00,2019-08-01 18:30:00,34800,0.26000000000000001
2019-08-01 22:40:00,2019-08-01 18:40:00,18600,0.10000000000000001
2019-08-01 22:50:00,2019-08-01 18:50:00,58200,0.65000000000000002
2019-08-01 23:10:00,2019-08-01 19:10:00,72600,1.48
2019-08-01 23:40:00,2019-08-01 19:40:00,84600,1.9299999999999999
2019-08-01 23:50:00,2019-08-01 19:50:00,110400,2.0699999999999998
2019-08-02 00:00:00,2019-08-01 20:00:00,103800,2.25
2019-08-02 00:10:00,2019-08-01 20:10:00,145200,2.4100000000000001
2019-08-02 00:30:00,2019-08-01 20:30:00,119400,2.8100000000000001
2019-08-02 00:50:00,2019-08-01 20:50:00,47400,3.3300000000000001
2019-08-02 01:00:00,2019-08-01 21:00:00,61800,3.6600000000000001
2019-08-02 01:30:00,2019-08-01 21:30:00,21000,4.3600000000000003
2019-08-02 01:40:00,2019-08-01 21:40:00,18000,4.5300000000000002
2019-08-02 01:50:00,2019-08-01 21:50:00,9600,4.6200000000000001
2019-08-02 02:00:00,2019-08-01 22:00:00,14400,4.5700000000000003
2019-08-02 02:20:00,2019-08-01 22:20:00,13800,4.4900000000000002
2019-08-02 02:40:00,2019-08-01 22:40:00,22800,4.3799999999999999
2019-08-02 02:50:00,2019-08-01 22:50:00,21600,4.3700000000000001
2019-08-02 03:00:00,2019-08-01 23:00:00,19800,4.2699999999999996
2019-08-02 03:10:00,2019-08-01 23:10:00,34800,4.0199999999999996
2019-08-02 03:20:00,2019-08-01 23:20:00,46200,3.8999999999999999
2019-08-02 03:30:00,2019-08-01 23:30:00,42600,3.6499999999999999
2019-08-02 03:50:00,2019-08-01 23:50:00,56400,3.1099999999999999
2019-08-02 04:10:00,2019-08-02 00:10:00,136200,2.6200000000000001
2019-08-02 04:20:00,2019-08-02 00:20:00,130200,2.3700000000000001
2019-08-02 04:30:00,2019-08-02 00:30:00,111600,2.0600000000000001
2019-08-02 04:50:00,2019-08-02 00:50:00,82800,1.46
2019-08-02 05:00:00,2019-08-02 01:00:00,63000,0.93000000000000005
2019-08-02 05:10:00,2019-08-02 01:10:00,51000,0.35999999999999999
2019-08-02 05:30:00,2019-08-02 01:30:00,97200,1.8500000000000001
2019-08-02 05:50:00,2019-08-02 01:50:00,113400,2.1499999999999999
2019-08-02 06:00:00,2019-08-02 02:00:00,50400,3.1699999999999999
2019-08-02 06:30:00,2019-08-02 02:30:00,111000,2.79
2019-08-02 06:50:00,2019-08-02 02:50:00,105000,2.77
2019-08-02 07:10:00,2019-08-02 03:10:00,67200,3.02
2019-08-02 07:20:00,2019-08-02 03:20:00,57600,3.1600000000000001
2019-08-02 07:30:00,2019-08-02 03:30:00,54600,3.1400000000000001
2019-08-02 07:40:00,2019-08-02 03:40:00,61200,3.1000000000000001
2019-08-02 07:50:00,2019-08-02 03:50:00,72600,3.0499999999999998
2019-08-02 08:00:00,2019-08-02 04:00:00,91200,2.98
2019-08-02 08:30:00,2019-08-02 04:30:00,123000,2.6899999999999999
2019-08-02 08:50:00,2019-08-02 04:50:00,136800,2.4700000000000002
2019-08-02 09:00:00,2019-08-02 05:00:00,130800,2.3300000000000001
2019-08-02 09:10:00,2019-08-02 05:10:00,124200,2.1699999999999999
2019-08-02 09:20:00,2019-08-02 05:20:00,108000,2.0099999999999998
2019-08-02 09:30:00,2019-08-02 05:30:00,109200,1.8799999999999999
2019-08-02 09:40:00,2019-08-02 05:40:00,88800,1.76
2019-08-02 09:50:00,2019-08-02 05:50:00,64200,1.6200000000000001
2019-08-02 10:20:00,2019-08-02 06:20:00,69600,1.1599999999999999
2019-08-02 10:30:00,2019-08-02 06:30:00,61200,0.91000000000000003
2019-08-02 10:40:00,2019-08-02 06:40:00,67200,0.85999999999999999
2019-08-02 10:50:00,2019-08-02 06:50:00,52800,0.60999999999999999
2019-08-02 11:00:00,2019-08-02 07:00:00,42600,0.44
2019-08-02 11:10:00,2019-08-02 07:10:00,50400,0.53000000000000003
2019-08-02 11:20:00,2019-08-02 07:20:00,51600,0.94999999999999996
2019-08-02 11:40:00,2019-08-02 07:40:00,81000,1.3200000000000001
2019-08-02 11:50:00,2019-08-02 07:50:00,96600,1.4399999999999999
2019-08-02 12:00:00,2019-08-02 08:00:00,87600,1.7
2019-08-02 12:10:00,2019-08-02 08:10:00,94200,2
2019-08-02 12:30:00,2019-08-02 08:30:00,113400,2.3399999999999999
2019-08-02 12:40:00,2019-08-02 08:40:00,166200,2.54
2019-08-02 13:00:00,2019-08-02 09:00:00,90600,2.9300000000000002
2019-08-02 13:10:00,2019-08-02 09:10:00,53400,3.1800000000000002
2019-08-02 13:20:00,2019-08-02 09:20:00,46800,3.52
2019-08-02 13:30:00,2019-08-02 09:30:00,41400,3.8399999999999999
2019-08-02 13:40:00,2019-08-02 09:40:00,26400,4.0999999999999996
2019-08-02 13:50:00,2019-08-02 09:50:00,33600,4.29
2019-08-02 14:00:00,2019-08-02 10:00:00,12000,4.4800000000000004
2019-08-02 14:10:00,2019-08-02 10:10:00,7800,4.6299999999999999
2019-08-02 14:20:00,2019-08-02 10:20:00,6000,4.6600000000000001
2019-08-02 14:50:00,2019-08-02 10:50:00,18600,4.4699999999999998
2019-08-02 15:10:00,2019-08-02 11:10:00,30000,4.21
2019-08-02 15:20:00,2019-08-02 11:20:00,28800,4.1799999999999997
2019-08-02 15:30:00,2019-08-02 11:30:00,39000,4.0300000000000002
2019-08-02 16:10:00,2019-08-02 12:10:00,49800,3.3799999999999999
2019-08-02 16:20:00,2019-08-02 12:20:00,57600,3.1499999999999999
2019-08-02 16:30:00,2019-08-02 12:30:00,93000,2.8399999999999999
2019-08-02 17:20:00,2019-08-02 13:20:00,66000,1.1799999999999999
2019-08-02 17:30:00,2019-08-02 13:30:00,52200,0.66000000000000003
2019-08-02 17:40:00,2019-08-02 13:40:00,33000,0.20000000000000001
2019-08-02 17:50:00,2019-08-02 13:50:00,52800,0.57999999999999996
2019-08-02 18:00:00,2019-08-02 14:00:00,76800,1.3500000000000001
2019-08-02 18:20:00,2019-08-02 14:20:00,60600,1.0700000000000001
2019-08-02 19:40:00,2019-08-02 15:40:00,41400,3.23
2019-08-02 20:30:00,2019-08-02 16:30:00,91200,2.9199999999999999
2019-08-02 21:50:00,2019-08-02 17:50:00,94200,1.9199999999999999
2019-08-02 22:10:00,2019-08-02 18:10:00,73800,1.6299999999999999
2019-08-02 22:20:00,2019-08-02 18:20:00,82800,1.53
2019-08-02 23:00:00,2019-08-02 19:00:00,54600,0.70999999999999996
2019-08-02 23:10:00,2019-08-02 19:10:00,39000,0.37
2019-08-02 23:20:00,2019-08-02 19:20:00,28200,0.17000000000000001
2019-08-02 23:50:00,2019-08-02 19:50:00,84600,1.3400000000000001
2019-08-03 00:30:00,2019-08-02 20:30:00,103800,1.95
2019-08-03 00:50:00,2019-08-02 20:50:00,133800,2.2999999999999998
2019-08-03 01:10:00,2019-08-02 21:10:00,131400,2.6600000000000001
2019-08-03 01:50:00,2019-08-02 21:50:00,57000,3.75
2019-08-03 02:10:00,2019-08-02 22:10:00,25800,4.2400000000000002
2019-08-03 02:30:00,2019-08-02 22:30:00,8400,4.6100000000000003
2019-08-03 02:40:00,2019-08-02 22:40:00,4200,4.6799999999999997
2019-08-03 03:00:00,2019-08-02 23:00:00,7800,4.5599999999999996
2019-08-03 03:10:00,2019-08-02 23:10:00,12000,4.54
2019-08-03 03:20:00,2019-08-02 23:20:00,15600,4.4199999999999999
2019-08-03 03:40:00,2019-08-02 23:40:00,22800,4.3399999999999999
2019-08-03 04:10:00,2019-08-03 00:10:00,43800,3.9100000000000001
2019-08-03 04:20:00,2019-08-03 00:20:00,55200,3.6800000000000002
2019-08-03 04:30:00,2019-08-03 00:30:00,53400,3.48
2019-08-03 04:40:00,2019-08-03 00:40:00,52800,3.21
2019-08-03 05:10:00,2019-08-03 01:10:00,155400,2.4399999999999999
2019-08-03 06:00:00,2019-08-03 02:00:00,43200,0.20999999999999999
2019-08-03 06:20:00,2019-08-03 02:20:00,58200,0.88
2019-08-03 06:30:00,2019-08-03 02:30:00,58200,0.75
2019-08-03 06:40:00,2019-08-03 02:40:00,54600,1.04
2019-08-03 07:00:00,2019-08-03 03:00:00,137400,2.5699999999999998
2019-08-03 07:30:00,2019-08-03 03:30:00,106800,2.8199999999999998
2019-08-03 09:40:00,2019-08-03 05:40:00,144000,2.3999999999999999
2019-08-03 09:50:00,2019-08-03 05:50:00,109200,2.27
