GMT,AST,Seconds in Period,Speed (M/S)
2019-08-03 10:00:00,2019-08-03 06:00:00,117000,2.1299999999999999
2019-08-03 10:10:00,2019-08-03 06:10:00,111600,1.99
2019-08-03 10:20:00,2019-08-03 06:20:00,90600,1.8600000000000001
2019-08-03 10:30:00,2019-08-03 06:30:00,85800,1.72
2019-08-03 10:40:00,2019-08-03 06:40:00,73200,1.5700000000000001
2019-08-03 10:50:00,2019-08-03 06:50:00,88800,1.4299999999999999
2019-08-03 11:10:00,2019-08-03 07:10:00,70800,1.1299999999999999
2019-08-03 11:20:00,2019-08-03 07:20:00,58800,0.79000000000000004
2019-08-03 11:30:00,2019-08-03 07:30:00,54000,0.67000000000000004
2019-08-03 11:40:00,2019-08-03 07:40:00,54000,0.40000000000000002
2019-08-03 11:50:00,2019-08-03 07:50:00,47400,0.56999999999999995
2019-08-03 12:30:00,2019-08-03 08:30:00,77400,1.55
2019-08-03 13:00:00,2019-08-03 09:00:00,108000,2.0299999999999998
2019-08-03 13:10:00,2019-08-03 09:10:00,111600,2.21
2019-08-03 14:00:00,2019-08-03 10:00:00,40200,3.2799999999999998
2019-08-03 14:10:00,2019-08-03 10:10:00,51600,3.6299999999999999
2019-08-03 14:20:00,2019-08-03 10:20:00,42000,3.9399999999999999
2019-08-03 14:40:00,2019-08-03 10:40:00,21000,4.3899999999999997
2019-08-03 15:00:00,2019-08-03 11:00:00,2400,4.7000000000000002
2019-08-03 15:10:00,2019-08-03 11:10:00,4800,4.6900000000000004
2019-08-03 15:30:00,2019-08-03 11:30:00,12600,4.5499999999999998
2019-08-03 16:00:00,2019-08-03 12:00:00,22800,4.2999999999999998
2019-08-03 16:20:00,2019-08-03 12:20:00,37800,4.0700000000000003
2019-08-03 16:40:00,2019-08-03 12:40:00,55200,3.77
2019-08-03 16:50:00,2019-08-03 12:50:00,52800,3.5299999999999998
2019-08-03 17:00:00,2019-08-03 13:00:00,37800,3.29
2019-08-03 17:30:00,2019-08-03 13:30:00,151200,2.5099999999999998
2019-08-03 17:50:00,2019-08-03 13:50:00,102600,1.8400000000000001
2019-08-03 18:10:00,2019-08-03 14:10:00,67800,0.81000000000000005
2019-08-03 18:20:00,2019-08-03 14:20:00,43200,0.27000000000000002
2019-08-03 19:50:00,2019-08-03 15:50:00,70800,2.9500000000000002
2019-08-03 21:10:00,2019-08-03 17:10:00,82800,2.9700000000000002
2019-08-03 22:50:00,2019-08-03 18:50:00,84000,1.73
2019-08-03 23:00:00,2019-08-03 19:00:00,82800,1.5900000000000001
2019-08-03 23:50:00,2019-08-03 19:50:00,60000,0.78000000000000003
2019-08-04 00:00:00,2019-08-03 20:00:00,60600,0.72999999999999998
2019-08-04 00:10:00,2019-08-03 20:10:00,46200,0.42999999999999999
2019-08-04 00:40:00,2019-08-03 20:40:00,63000,1.1899999999999999
2019-08-04 01:00:00,2019-08-03 21:00:00,85800,1.5800000000000001
2019-08-04 01:20:00,2019-08-03 21:20:00,104400,1.9399999999999999
2019-08-04 01:30:00,2019-08-03 21:30:00,108600,2.1400000000000001
2019-08-04 02:10:00,2019-08-03 22:10:00,95400,2.9100000000000001
2019-08-04 02:30:00,2019-08-03 22:30:00,43200,3.4900000000000002
2019-08-04 02:40:00,2019-08-03 22:40:00,42600,3.8100000000000001
2019-08-04 02:50:00,2019-08-03 22:50:00,28800,4.0800000000000001
2019-08-04 03:10:00,2019-08-03 23:10:00,16200,4.46
2019-08-04 03:30:00,2019-08-03 23:30:00,5400,4.6500000000000004
2019-08-04 04:40:00,2019-08-04 00:40:00,25800,4.1500000000000004
2019-08-04 06:00:00,2019-08-04 02:00:00,106200,2.2799999999999998
2019-08-04 06:30:00,2019-08-04 02:30:00,70200,1.2
2019-08-04 06:40:00,2019-08-04 02:40:00,45600,0.59999999999999998
2019-08-04 07:30:00,2019-08-04 03:30:00,72000,1.54
2019-08-04 08:00:00,2019-08-04 04:00:00,144600,2.5
2019-08-04 08:10:00,2019-08-04 04:10:00,131400,2.6699999999999999
2019-08-04 08:20:00,2019-08-04 04:20:00,133200,2.75
2019-08-04 10:00:00,2019-08-04 06:00:00,135600,2.7400000000000002
2019-08-04 12:10:00,2019-08-04 08:10:00,67200,0.81999999999999995
2019-08-04 12:50:00,2019-08-04 08:50:00,64200,0.98999999999999999
2019-08-04 13:00:00,2019-08-04 09:00:00,63000,1.25
2019-08-04 13:20:00,2019-08-04 09:20:00,76800,1.51
2019-08-04 14:00:00,2019-08-04 10:00:00,99000,2.2599999999999998
2019-08-04 15:10:00,2019-08-04 11:10:00,32400,3.98
2019-08-04 16:50:00,2019-08-04 12:50:00,21000,4.2199999999999998
2019-08-04 17:30:00,2019-08-04 13:30:00,45000,3.71
2019-08-04 17:40:00,2019-08-04 13:40:00,48600,3.4300000000000002
2019-08-04 17:50:00,2019-08-04 13:50:00,52800,3.1899999999999999
2019-08-04 18:50:00,2019-08-04 14:50:00,87600,1.28
2019-08-04 19:10:00,2019-08-04 15:10:00,28800,0.19
2019-08-04 19:40:00,2019-08-04 15:40:00,56400,0.87
2019-08-04 19:50:00,2019-08-04 15:50:00,76200,1.49
2019-08-04 21:00:00,2019-08-04 17:00:00,105000,2.8999999999999999
2019-08-04 21:30:00,2019-08-04 17:30:00,58800,3.1299999999999999
2019-08-04 21:50:00,2019-08-04 17:50:00,63000,2.9900000000000002
2019-08-04 23:10:00,2019-08-04 19:10:00,126000,2.1099999999999999
2019-08-04 23:30:00,2019-08-04 19:30:00,94200,1.8200000000000001
2019-08-05 00:00:00,2019-08-04 20:00:00,75600,1.3700000000000001
2019-08-05 00:20:00,2019-08-04 20:20:00,72600,1.02
2019-08-05 00:30:00,2019-08-04 20:30:00,56400,0.83999999999999997
2019-08-05 00:50:00,2019-08-04 20:50:00,45600,0.38
2019-08-05 01:00:00,2019-08-04 21:00:00,15000,8.0000000000000002E-2
2019-08-05 01:10:00,2019-08-04 21:10:00,54000,0.46999999999999997
2019-08-05 01:40:00,2019-08-04 21:40:00,78000,1.6000000000000001
2019-08-05 01:50:00,2019-08-04 21:50:00,76200,1.74
2019-08-05 02:10:00,2019-08-04 22:10:00,105600,1.98
2019-08-05 02:30:00,2019-08-04 22:30:00,122400,2.29
2019-08-05 02:40:00,2019-08-04 22:40:00,163800,2.4900000000000002
2019-08-05 03:20:00,2019-08-04 23:20:00,57600,3.4399999999999999
2019-08-05 03:50:00,2019-08-04 23:50:00,31800,4.2000000000000002
2019-08-05 04:10:00,2019-08-05 00:10:00,12000,4.5
2019-08-05 05:10:00,2019-08-05 01:10:00,19800,4.2599999999999998
2019-08-05 05:20:00,2019-08-05 01:20:00,25800,4.2300000000000004
2019-08-05 05:40:00,2019-08-05 01:40:00,54600,3.8500000000000001
2019-08-05 07:20:00,2019-08-05 03:20:00,69000,0.89000000000000001
2019-08-05 07:30:00,2019-08-05 03:30:00,47400,0.34999999999999998
2019-08-05 07:40:00,2019-08-05 03:40:00,73800,0.84999999999999998
2019-08-05 09:00:00,2019-08-05 05:00:00,108600,2.7599999999999998
2019-08-05 12:00:00,2019-08-05 08:00:00,69000,1.6899999999999999
2019-08-05 12:20:00,2019-08-05 08:20:00,89400,1.45
2019-08-05 13:20:00,2019-08-05 09:20:00,51600,0.51000000000000001
2019-08-05 13:30:00,2019-08-05 09:30:00,38400,0.23000000000000001
2019-08-05 13:40:00,2019-08-05 09:40:00,43200,0.64000000000000001
2019-08-05 13:50:00,2019-08-05 09:50:00,69600,1.1699999999999999
2019-08-05 14:30:00,2019-08-05 10:30:00,91800,1.8700000000000001
2019-08-05 15:50:00,2019-08-05 11:50:00,43200,3.6099999999999999
2019-08-05 17:40:00,2019-08-05 13:40:00,27600,4.1399999999999997
2019-08-05 18:10:00,2019-08-05 14:10:00,55200,3.7799999999999998
2019-08-05 18:20:00,2019-08-05 14:20:00,59400,3.5600000000000001
2019-08-05 18:40:00,2019-08-05 14:40:00,56400,3.0800000000000001
2019-08-05 19:10:00,2019-08-05 15:10:00,107400,2.23
2019-08-05 19:30:00,2019-08-05 15:30:00,90600,1.6599999999999999
2019-08-05 19:40:00,2019-08-05 15:40:00,74400,1.24
2019-08-05 20:10:00,2019-08-05 16:10:00,67800,1.03
2019-08-06 00:10:00,2019-08-05 20:10:00,93600,1.8999999999999999
2019-08-06 01:20:00,2019-08-05 21:20:00,56400,0.76000000000000001
2019-08-06 01:50:00,2019-08-05 21:50:00,31800,0.23999999999999999
2019-08-06 02:20:00,2019-08-05 22:20:00,75000,1.3
2019-08-06 03:10:00,2019-08-05 23:10:00,115200,2.0899999999999999
2019-08-06 03:20:00,2019-08-05 23:20:00,112800,2.2200000000000002
2019-08-06 04:20:00,2019-08-06 00:20:00,58800,3.6000000000000001
2019-08-06 04:30:00,2019-08-06 00:30:00,51000,3.8599999999999999
2019-08-06 06:30:00,2019-08-06 02:30:00,51000,3.7200000000000002
2019-08-06 06:40:00,2019-08-06 02:40:00,52800,3.5699999999999998
2019-08-06 06:50:00,2019-08-06 02:50:00,49200,3.4199999999999999
2019-08-06 12:10:00,2019-08-06 08:10:00,114000,2.1800000000000002
2019-08-06 13:20:00,2019-08-06 09:20:00,78000,1.22
2019-08-06 13:30:00,2019-08-06 09:30:00,58800,1.0600000000000001
2019-08-06 14:10:00,2019-08-06 10:10:00,28800,0.13
2019-08-06 15:00:00,2019-08-06 11:00:00,84000,1.4199999999999999
2019-08-06 17:00:00,2019-08-06 13:00:00,43800,3.9300000000000002
2019-08-06 19:10:00,2019-08-06 15:10:00,51000,3.3500000000000001
2019-08-06 19:50:00,2019-08-06 15:50:00,138600,2.3900000000000001
2019-08-06 20:30:00,2019-08-06 16:30:00,82200,1.0800000000000001
2019-08-06 20:50:00,2019-08-06 16:50:00,35400,0.17999999999999999
2019-08-06 21:30:00,2019-08-06 17:30:00,62400,1.05
2019-08-07 00:20:00,2019-08-06 20:20:00,141000,2.3799999999999999
2019-08-07 02:20:00,2019-08-06 22:20:00,54600,0.69999999999999996
2019-08-07 02:30:00,2019-08-06 22:30:00,64200,0.5
2019-08-07 02:40:00,2019-08-06 22:40:00,46200,0.39000000000000001
2019-08-07 05:10:00,2019-08-07 01:10:00,45600,3.3100000000000001
2019-08-07 05:20:00,2019-08-07 01:20:00,51000,3.5899999999999999
2019-08-07 05:40:00,2019-08-07 01:40:00,43200,3.9199999999999999
2019-08-07 06:00:00,2019-08-07 02:00:00,25200,4.1299999999999999
2019-08-07 06:50:00,2019-08-07 02:50:00,45600,3.8700000000000001
2019-08-07 07:20:00,2019-08-07 03:20:00,51600,3.5099999999999998
2019-08-07 07:40:00,2019-08-07 03:40:00,56400,3.2000000000000002
2019-08-07 08:20:00,2019-08-07 04:20:00,108000,2.3199999999999998
2019-08-07 09:20:00,2019-08-07 05:20:00,57600,0.47999999999999998
2019-08-07 09:30:00,2019-08-07 05:30:00,69600,1.21
2019-08-07 14:00:00,2019-08-07 10:00:00,71400,1.3300000000000001
2019-08-07 15:00:00,2019-08-07 11:00:00,38400,0.34000000000000002
2019-08-07 15:10:00,2019-08-07 11:10:00,37200,0.28999999999999998
2019-08-07 17:50:00,2019-08-07 13:50:00,61800,3.6400000000000001
2019-08-07 18:30:00,2019-08-07 14:30:00,31800,4.1100000000000003
2019-08-07 21:50:00,2019-08-07 17:50:00,70200,1.1499999999999999
2019-08-08 02:30:00,2019-08-07 22:30:00,85800,1.3100000000000001
2019-08-08 03:10:00,2019-08-07 23:10:00,55800,0.68999999999999995
2019-08-08 03:50:00,2019-08-07 23:50:00,45000,0.62
2019-08-08 04:30:00,2019-08-08 00:30:00,81600,1.4099999999999999
2019-08-08 05:00:00,2019-08-08 01:00:00,88800,1.97
2019-08-08 06:20:00,2019-08-08 02:20:00,51000,3.46
2019-08-08 06:50:00,2019-08-08 02:50:00,53400,3.8300000000000001
2019-08-08 07:40:00,2019-08-08 03:40:00,62400,3.7599999999999998
2019-08-08 08:10:00,2019-08-08 04:10:00,45000,3.3999999999999999
2019-08-08 08:20:00,2019-08-08 04:20:00,46200,3.3199999999999998
2019-08-08 16:10:00,2019-08-08 12:10:00,19200,8.9999999999999997E-2
2019-08-08 18:50:00,2019-08-08 14:50:00,49800,3.4500000000000002
2019-08-08 19:20:00,2019-08-08 15:20:00,40800,3.79
2019-08-08 20:40:00,2019-08-08 16:40:00,45000,3.3700000000000001
2019-08-08 20:50:00,2019-08-08 16:50:00,37200,3.2400000000000002
2019-08-08 23:10:00,2019-08-08 19:10:00,96600,2.1600000000000001
2019-08-09 04:40:00,2019-08-09 00:40:00,15600,0.11
2019-08-09 05:40:00,2019-08-09 01:40:00,73800,1.3799999999999999
2019-08-09 05:50:00,2019-08-09 01:50:00,57000,1.71
2019-08-09 07:20:00,2019-08-09 03:20:00,38400,3.27
2019-08-09 08:00:00,2019-08-09 04:00:00,44400,3.73
2019-08-09 08:30:00,2019-08-09 04:30:00,46200,3.6699999999999999
2019-08-09 08:50:00,2019-08-09 04:50:00,49200,3.5499999999999998
2019-08-09 10:20:00,2019-08-09 06:20:00,110400,2.02
2019-08-09 11:00:00,2019-08-09 07:00:00,63600,0.90000000000000002
2019-08-09 11:10:00,2019-08-09 07:10:00,51000,0.45000000000000001
2019-08-09 14:50:00,2019-08-09 10:50:00,99000,2.0800000000000001
2019-08-09 17:10:00,2019-08-09 13:10:00,7200,5.0000000000000003E-2
2019-08-09 17:50:00,2019-08-09 13:50:00,78600,1.3899999999999999
2019-08-09 18:30:00,2019-08-09 14:30:00,91200,1.8899999999999999
2019-08-09 21:10:00,2019-08-09 17:10:00,50400,3.6200000000000001
2019-08-09 23:50:00,2019-08-09 19:50:00,43800,0.46000000000000002
2019-08-10 05:20:00,2019-08-10 01:20:00,54600,0.56000000000000005
2019-08-10 08:30:00,2019-08-10 04:30:00,51000,3.2999999999999998
2019-08-10 18:10:00,2019-08-10 14:10:00,19200,0.12
2019-08-10 18:30:00,2019-08-10 14:30:00,51600,0.77000000000000002
2019-08-11 00:40:00,2019-08-10 20:40:00,49200,0.63
2019-08-11 05:50:00,2019-08-11 01:50:00,69600,1.0900000000000001
2019-08-11 07:20:00,2019-08-11 03:20:00,66000,1.1100000000000001
2019-08-11 19:10:00,2019-08-11 15:10:00,37200,0.31
2019-08-12 08:00:00,2019-08-12 04:00:00,21000,0.14999999999999999
2019-08-12 09:00:00,2019-08-12 05:00:00,76800,1.6100000000000001
2019-08-12 11:50:00,2019-08-12 07:50:00,52200,3.6899999999999999
2019-08-12 18:30:00,2019-08-12 14:30:00,90000,1.77
2019-08-13 01:00:00,2019-08-12 21:00:00,44400,3.25
2019-08-13 13:10:00,2019-08-13 09:10:00,49200,3.4700000000000002
2019-08-13 15:50:00,2019-08-13 11:50:00,109800,2.2000000000000002
2019-08-13 21:00:00,2019-08-13 17:00:00,34800,0.25
2019-08-13 23:40:00,2019-08-13 19:40:00,52800,3.2599999999999998
2019-08-14 08:00:00,2019-08-14 04:00:00,75000,1.6499999999999999
2019-08-14 12:50:00,2019-08-14 08:50:00,45000,3.9500000000000002
2019-08-14 13:00:00,2019-08-14 09:00:00,39000,4
2019-08-14 15:30:00,2019-08-14 11:30:00,74400,1.6799999999999999
2019-08-15 01:50:00,2019-08-14 21:50:00,51600,3.8199999999999998
2019-08-15 09:30:00,2019-08-15 05:30:00,58200,0.97999999999999998
2019-08-15 13:50:00,2019-08-15 09:50:00,34800,3.9900000000000002
2019-08-16 15:40:00,2019-08-16 11:40:00,49200,3.2200000000000002
2019-08-16 22:50:00,2019-08-16 18:50:00,48000,0.54000000000000004
2019-08-16 23:00:00,2019-08-16 19:00:00,46200,0.33000000000000002
2019-08-17 03:50:00,2019-08-16 23:50:00,43800,3.3599999999999999
2019-08-18 00:10:00,2019-08-17 20:10:00,67200,0.96999999999999997
2019-08-18 12:00:00,2019-08-18 08:00:00,12600,7.0000000000000007E-2
2019-08-19 12:30:00,2019-08-19 08:30:00,27600,0.14000000000000001
2019-08-22 14:30:00,2019-08-22 10:30:00,43800,0.29999999999999999
2019-08-29 12:50:00,2019-08-29 08:50:00,24000,4.25
2019-08-29 13:20:00,2019-08-29 09:20:00,31200,4.0499999999999998
2019-08-30 13:10:00,2019-08-30 09:10:00,4800,4.5999999999999996
2019-08-31 04:50:00,2019-08-31 00:50:00,48000,0.41999999999999998
2019-08-31 14:00:00,2019-08-31 10:00:00,1200,4.7199999999999998
2019-08-31 14:10:00,2019-08-31 10:10:00,7200,4.6399999999999997
2019-08-31 14:20:00,2019-08-31 10:20:00,8400,4.5899999999999999
2019-09-01 14:40:00,2019-09-01 10:40:00,1200,4.7300000000000004
2019-09-01 14:50:00,2019-09-01 10:50:00,1200,4.75
2019-09-01 15:00:00,2019-09-01 11:00:00,6000,4.6699999999999999
2019-09-03 05:10:00,2019-09-03 01:10:00,27000,4.0899999999999999
2019-09-05 05:30:00,2019-09-05 01:30:00,30600,4.0599999999999996
2019-09-11 08:10:00,2019-09-11 04:10:00,24000,0.16
2019-09-13 09:50:00,2019-09-13 05:50:00,2400,0.01
2019-09-20 14:00:00,2019-09-20 10:00:00,9600,5.9999999999999998E-2
2019-09-27 11:50:00,2019-09-27 07:50:00,21600,4.3300000000000001
2019-09-30 11:20:00,2019-09-30 07:20:00,10200,4.0000000000000001E-2
2019-09-30 14:30:00,2019-09-30 10:30:00,1800,4.7400000000000002
2019-10-27 09:30:00,2019-10-27 05:30:00,3000,2.9999999999999999E-2
2019-11-28 05:40:00,2019-11-28 01:40:00,1800,0.02
2020-04-09 02:10:00,2020-04-08 22:10:00,1800,4.71
